,frequency_mhz
32681,122.95
32698,119.625
32698,127.85
32698,125.05
32698,118.15
32698,121.7
32698,122.2
32698,129.17
32698,120.9
32698,122.95
32705,120.05
32705,121.15
32705,127.15
32705,121.8
32705,29.22
32705,122.4
32705,118.1
32705,122.95
32707,124.7
32707,126.025
32707,121.8
32707,128.2
32707,121.8
32707,128.2
32708,33.822
32708,118.2
32708,124.6
32708,126.3
32708,121.9
32708,122.2
32708,132.7
32708,122.95
32731,118.5
32731,125.0
32731,134.45
32731,124.15
32731,124.0
32731,121.7
32731,29.84
32731,34.92
32731,122.85
32731,122.25
32731,119.9
32731,122.95
32752,120.9
32752,126.8
32752,118.55
32752,121.9
32752,122.65
32752,119.4
32752,122.95
32756,128.5
32756,127.6
32756,118.55
32756,121.8
32756,30.23
32756,122.2
32756,125.7
32756,122.95
32775,119.7
32775,134.375
32775,127.175
32775,126.65
32775,121.3
32775,117.3
32775,118.3
32775,122.95
32834,124.3
32834,120.15
32834,127.9
32834,118.55
32834,121.75
32834,122.3
32834,118.7
32834,122.95
32837,118.0
32837,125.8
32837,121.75
32837,121.9
32837,122.2
32837,119.9
32837,122.95
32840,118.3
32840,132.65
32840,128.25
32840,118.95
32840,121.7
32840,119.1
32840,122.95
32849,119.3
32849,125.6
32849,118.75
32849,126.1
32849,121.85
32849,123.65
32849,124.3
32849,122.95
32854,28.465
32854,119.875
32854,123.775
32854,128.25
32854,31.985
32854,118.55
32854,121.65
32854,124.15
32854,122.95
32866,119.6
32866,114.4
32866,120.5
32866,119.6
32866,138.75
32866,35.46
32866,37.22
32866,125.2
32867,125.45
32867,124.1
32867,121.9
32867,28.89
32867,28.89
32867,122.35
32867,118.3
32867,122.95
32881,132.425
32881,135.05
32881,125.55
32881,32.3
32881,118.875
32881,34.2
32881,134.1
32881,134.1
32881,111.4
32881,126.35
32902,118.575
32902,133.675
32902,120.65
32902,118.575
32902,119.25
32902,115.7
32902,118.4
32902,122.95
32927,125.0
32927,38.57
32927,118.35
32927,38.325
32927,31.1
32927,34.94
32927,139.3
32927,133.0
33299,132.75
33299,26.99
33299,121.8
33299,135.825
33299,34.24
33299,30.4
33299,37.22
33299,120.7
33344,118.075
33344,115.4
33344,22.54
33344,120.525
33344,121.8
33344,34.255
33344,37.22
33344,124.05
33356,121.0
33356,120.35
33356,126.8
33356,118.1
33356,121.9
33356,109.4
33356,118.1
33356,122.95
33381,127.6
33381,115.7
33381,118.85
33381,119.2
33381,121.8
33381,118.3
33381,122.95
33468,118.85
33468,124.475
33468,121.8
33468,34.46
33468,34.94
33468,122.85
33468,126.9
33484,125.8
33484,124.5
33484,134.55
33484,121.9
33484,122.3
33484,134.55
33484,122.95
33485,118.1
33485,135.0
33485,128.4
33485,119.7
33485,121.4
33485,119.3
33485,122.95
33520,35.357
33520,120.175
33520,126.3
33520,133.85
33520,118.3
33520,120.9
33520,121.9
33520,122.2
33520,118.3
33520,122.95
33528,118.1
33528,120.7
33528,124.65
33528,121.9
33528,122.6
33528,118.3
33528,122.95
33533,127.2
33533,121.25
33533,124.75
33533,121.9
33533,138.4
33533,122.2
33533,119.1
33533,122.95
33614,123.75
33614,124.325
33614,127.55
33614,121.9
33614,38.75
33614,122.2
33614,118.3
33614,122.95
33661,124.6
33661,119.45
33661,123.7
33661,120.4
33661,37.78
33661,109.0
33661,123.7
33661,122.95
33664,119.4
33664,124.1
33664,121.75
