,frequency_mhz
18743,125.0
18743,123.8
18743,126.3
18751,123.2
18752,126.35
18752,123.2
18753,126.7
18753,135.05
18753,126.7
18757,122.7
18757,122.95
18757,123.875
18757,132.525
18757,123.375
18781,127.2
18781,118.4
18781,134.8
18781,121.9
18781,123.4
18781,118.4
18785,122.8
18785,134.3
18793,135.3
18793,122.8
18797,122.8
18811,123.2
18813,122.8
18819,135.3
18819,122.8
18832,122.8
18840,122.3
18840,122.3
18849,123.2
18851,122.8
18882,123.2
18952,125.825
18953,125.825
18961,120.325
18962,128.825
18963,125.825
18964,122.4
18967,122.4
18968,125.825
18969,125.825
18970,125.825
18972,125.825
18974,125.825
18975,125.825
18976,125.825
18977,120.675
18998,125.825
19000,125.825
19003,125.825
19004,125.825
19005,125.825
19007,125.825
19008,136.65
19059,118.55
19091,119.3
19091,123.5
19106,122.8
19114,134.0
19114,123.2
19119,123.2
19119,126.7
19132,123.5
19132,122.55
19132,126.025
19132,123.25
19133,120.0
19133,120.8
19133,120.0
19146,119.55
19146,118.675
19146,122.8
19315,119.415
19381,120.605
19405,123.37
19418,118.425
19458,123.425
19463,120.975
19466,120.975
19469,122.1
19497,123.35
19502,123.5
19508,120.075
19515,123.15
19541,120.4
19544,123.425
19553,123.425
19561,129.975
19563,129.975
19582,123.35
19604,123.425
19605,126.5
19606,123.5
19607,120.975
19613,123.425
19616,123.425
19676,123.425
19680,120.975
19760,123.0
19908,118.5
19910,118.3
19911,0.0
19912,125.0
19922,120.5
19990,123.0
20043,123.425
20046,129.975
20058,122.905
20061,132.0
20062,118.765
20063,123.2
20072,118.93
20085,119.5
20096,135.0
20103,119.2
20132,123.55
20143,118.005
20162,122.17
20163,122.175
20167,124.755
20169,119.98
20174,125.375
20176,119.0
20177,118.425
20180,135.125
20186,120.225
20191,118.33
20195,123.805
20196,123.425
20197,120.4
20234,125.625
20234,129.15
20236,125.8
20236,118.175
20237,132.65
20237,122.0
20241,122.425
20242,125.8
20242,122.7
20244,125.8
20244,122.9
20244,124.175
20248,125.8
20248,135.15
20248,124.175
20252,125.8
20252,122.6
20253,132.65
20253,119.05
20255,129.975
20255,132.65
20256,132.65
20256,123.05
20257,131.155
20257,132.65
20262,133.94
20264,132.65
20264,118.075
20264,126.425
20266,122.05
20266,125.8
20267,132.65
20267,122.725
20276,122.0
20276,125.8
20279,132.65
20279,122.6
20283,122.65
20283,132.65
20284,0.0
20284,122.7
20286,123.0
20291,132.74
20294,132.65
20294,122.05
20294,126.175
20296,125.8
20296,122.9
20297,132.65
20297,122.475
20301,122.4
20305,122.4
20306,125.8
20306,134.855
20329,119.15
20330,122.475
20332,120.13
20334,121.025
20336,132.43
20339,123.05
20342,119.15
20342,118.43
20347,123.65
20347,124.515
20349,124.725
20349,118.175
20349,118.825
20349,123.525
20350,118.175
20350,128.95
20352,122.175
20354,126.95
20354,124.6
20355,122.175
20355,119.15
20384,122.7
20392,122.6
20400,122.88
20401,135.15
20412,121.405
20413,122.375
20413,129.875
20415,129.875
20415,130.6
20416,129.875
20416,122.5
20417,125.875
20420,129.875
20420,119.75
20421,123.625
20423,134.05
20424,129.875
20424,118.35
20432,125.275
20432,125.725
20433,129.875
20433,119.205
20442,126.95
20442,122.75
20445,120.65
20445,125.075
20445,120.3
20449,128.865
20452,129.8
20453,126.95
20453,122.975
20457,132.55
20457,124.65
20457,135.525
20457,120.65
20460,120.65
20460,119.175
20469,118.935
20470,122.35
20475,126.95
20475,122.875
20483,118.18
20486,126.95
20486,131.13
20497,122.85
20502,132.65
20502,119.125
20509,132.65
20509,122.4
20514,128.95
20514,122.4
20536,128.675
20536,125.8
20536,129.525
20538,130.78
20538,125.8
20541,134.555
20543,118.525
20544,118.19
20546,118.25
20548,127.45
20549,122.5
20551,119.805
20552,120.25
20554,129.8
20555,132.025
20557,123.525
20557,118.7
20557,122.2
20559,123.525
20559,122.405
20562,122.6
20564,123.525
20564,122.655
20566,123.0
20571,123.525
20571,122.05
20575,128.95
20575,118.08
20576,123.825
20576,123.525
20576,129.675
20582,123.71
20584,122.755
20586,124.7
20586,130.5
20593,128.95
20593,121.0
20593,125.875
20596,128.95
20596,118.25
20597,128.95
20597,122.0
20598,123.025
20601,124.7
20601,135.18
20613,133.585
20616,130.125
20616,125.8
20618,125.8
20618,123.05
20620,132.65
